Altitude,Latitude,Longitude,Course,HorizontalAccuracy,Lifespan,Speed,Timestamp,Type,VerticalAccuracy,
31,50.862906,-1.280458,78,5,30,0,1412578842.067,1,4,
31,50.862906,-1.280457,78,5,30,0,1412578843.054,1,4,
31,50.862905,-1.280461,78,5,30,0,1412578844.075,1,4,
31,50.862905,-1.280462,78,5,30,0,1412578845.075,1,4,
31,50.862906,-1.280458,78,5,30,0,1412578846.053,1,4,
31,50.862905,-1.280461,78,10,30,0,1412578847.107,1,4,
31,50.862906,-1.280457,78,10,30,0,1412578848.111,1,4,
31,50.862906,-1.280457,78,5,30,0,1412578849.097,1,4,
31,50.862905,-1.280459,78,5,30,0,1412578850.062,1,4,
31,50.862905,-1.28046,78,5,30,0,1412578851.047,1,4,
31,50.862905,-1.280461,78,5,30,0,1412578852.043,1,4,
31,50.862913,-1.280405,78,5,30,0.33,1412578853.046,1,4,
31,50.862914,-1.280391,78,5,30,0.79,1412578854.049,1,4,
31,50.862919,-1.280356,78,5,30,3.02,1412578855.05,1,4,
31,50.862924,-1.280315,78,5,30,3.01,1412578856.041,1,4,
32,50.862943,-1.280211,74,5,30,5.99,1412578857.056,1,4,
32,50.862959,-1.280118,74,5,30,6.83,1412578858.078,1,4,
32,50.862981,-1.280007,72,5,30,7.9,1412578859.076,1,4,
32,50.863002,-1.279898,72,5,30,8.44,1412578860.094,1,3,
32,50.863024,-1.279794,70,5,30,8.43,1412578861.078,1,3,
32,50.863057,-1.279651,70,5,30,9.65,1412578862.046,1,4,
33,50.863088,-1.279516,68,5,30,10.7,1412578863.085,1,3,
33,50.863124,-1.279375,65,5,30,11.21,1412578864.116,1,3,
33,50.863174,-1.279207,64,5,30,12.53,1412578865.154,1,3,
33,50.863217,-1.279064,63,5,30,12.26,1412578866.094,1,3,
33,50.863275,-1.278882,63,5,30,12.81,1412578867.114,1,3,
34,50.86333,-1.278714,61,5,30,13.66,1412578868.096,1,3,
34,50.863376,-1.278587,56,5,30,12.76,1412578869.066,1,3,
34,50.863444,-1.278436,54,5,30,12.17,1412578870.133,1,3,
34,50.863507,-1.278301,53,5,30,11.4,1412578871.145,1,3,
34,50.863558,-1.278192,53,5,30,10.59,1412578872.146,1,3,
34,50.863627,-1.278065,47,5,30,10.54,1412578873.183,1,3,
34,50.863687,-1.277961,47,5,30,10.15,1412578874.183,1,3,
34,50.863743,-1.277866,46,5,30,9.65,1412578875.174,1,3,
34,50.863797,-1.277778,46,5,30,8.39,1412578876.132,1,3,
34,50.863844,-1.2777,46,5,30,7.17,1412578877.073,1,3,
34,50.863876,-1.277648,46,5,30,6.6,1412578878.134,1,3,
34,50.863915,-1.277584,46,5,30,6.26,1412578879.159,1,3,
35,50.863942,-1.27754,46,5,30,6.78,1412578880.118,1,3,
35,50.863832,-1.277281,124,5,30,7.35,1412578881.067,1,3,
35,50.863779,-1.277142,119,5,30,8.89,1412578882.068,1,3,
35,50.863738,-1.27702,117,5,30,10.32,1412578883.086,1,3,
36,50.863698,-1.276897,117,5,30,9.76,1412578884.126,1,3,
36,50.863652,-1.27676,118,5,30,10.11,1412578885.124,1,4,
36,50.863607,-1.276636,120,5,30,9.4,1412578886.123,1,3,
37,50.863563,-1.276515,120,5,30,8.89,1412578887.149,1,3,
37,50.863522,-1.276407,122,5,30,8.41,1412578888.12,1,4,
38,50.863479,-1.276311,126,10,30,7.9,1412578889.063,1,8,
38,50.863461,-1.276271,126,5,30,7.29,1412578890.06,1,4,
38,50.863422,-1.276199,131,10,30,5.97,1412578891.069,1,4,
39,50.863368,-1.276111,133,5,30,5.42,1412578892.116,1,4,
39,50.863349,-1.27608,135,5,30,5.03,1412578893.154,1,3,
39,50.863325,-1.276044,135,5,30,5.37,1412578894.174,1,3,
39,50.863298,-1.276001,135,5,30,5.61,1412578895.178,1,3,
39,50.863262,-1.275945,135,5,30,6.93,1412578896.195,1,3,
39,50.863216,-1.275875,135,5,30,8.15,1412578897.178,1,3,
39,50.863181,-1.275819,134,5,30,8.91,1412578898.113,1,3,
40,50.863158,-1.275781,134,5,30,8.17,1412578899.117,1,3,
40,50.863125,-1.27567,114,5,30,9.18,1412578900.149,1,3,
40,50.863088,-1.275543,114,5,30,9.9,1412578901.123,1,3,
41,50.863049,-1.275409,114,5,30,10.39,1412578902.1,1,4,
41,50.863009,-1.275271,114,5,30,10.79,1412578903.059,1,4,
41,50.862968,-1.275129,114,5,30,10.98,1412578904.045,1,3,
41,50.862929,-1.274998,114,5,30,10.31,1412578905.043,1,3,
41,50.862897,-1.274884,114,5,30,9.6,1412578906.046,1,3,
40,50.862865,-1.274772,114,5,30,8.83,1412578907.077,1,3,
41,50.862833,-1.27466,113,5,30,8.09,1412578908.088,1,3,
41,50.862805,-1.274555,113,5,30,7.41,1412578909.089,1,3,
41,50.862779,-1.274462,113,5,30,6.38,1412578910.089,1,3,
41,50.862763,-1.2744,113,5,30,4.97,1412578911.071,1,3,
40,50.862748,-1.274347,113,5,30,4.3,1412578912.07,1,3,
40,50.862735,-1.274297,113,5,30,3.51,1412578913.067,1,3,
40,50.862727,-1.274269,113,5,30,2.26,1412578914.075,1,3,
40,50.862723,-1.274253,113,5,30,1.25,1412578915.078,1,3,
40,50.862721,-1.274245,113,5,30,0.95,1412578916.076,1,3,
40,50.862718,-1.274236,113,5,30,1.26,1412578917.076,1,3,
40,50.862718,-1.274235,113,5,30,1.52,1412578918.074,1,3,
40,50.862727,-1.274236,24,5,30,3.03,1412578919.074,1,3,
40,50.862686,-1.273422,33,5,30,4.08,1412578920.071,1,3,
40,50.862673,-1.273485,37,5,30,4.25,1412578921.07,1,3,
40,50.862665,-1.273555,22,5,30,4.68,1412578922.067,1,3,
40,50.862724,-1.273533,33,5,30,4.76,1412578923.068,1,3,
40,50.862901,-1.27347,9,5,30,4.6,1412578924.066,1,3,
40,50.86293,-1.273501,6,5,30,3.86,1412578925.096,1,3,
40,50.862962,-1.273534,23,5,30,2.74,1412578926.073,1,3,
40,50.863041,-1.274036,23,5,30,1.35,1412578927.069,1,3,
40,50.863052,-1.274028,23,5,30,1.13,1412578928.064,1,3,
40,50.863063,-1.274023,23,5,30,1.31,1412578929.068,1,3,
40,50.863077,-1.274014,23,5,30,1.71,1412578930.066,1,3,
40,50.863094,-1.274005,23,5,30,1.91,1412578931.071,1,3,
40,50.863112,-1.273993,23,5,30,2.06,1412578932.065,1,3,
40,50.863129,-1.273983,21,5,30,2.01,1412578933.067,1,3,
40,50.863151,-1.273978,11,5,30,2.29,1412578934.063,1,3,
40,50.863182,-1.27398,357,5,30,3.01,1412578935.062,1,3,
40,50.863217,-1.273983,352,5,30,3.84,1412578936.062,1,3,
